Program Name,Organization Name,Description of Program,Link,Type,High School,Field of Study,Skills preferred,Location,Mode of Participation,Program Duration  (Start Date - End Date),Deadline,Tuition/Fees,Stipend/Salary:,Keywords,Tags
Hofstra: Summer Science Research Program,Hofstra University,"Hofstra University's Summer Science Research Program offers high school students opportunities in science research under the guidance of professionals in science and mathematics. For more than 15 years, HUSSRP has provided selected research-oriented high school students the opportunity to work with our science faculty during the summer in an on-campus research program. The program runs from early July through mid-August culminating in a science ""poster session"" in early fall where students display the work they performed during the summer.",https://www.hofstra.edu/summer-science-research-program.html,Research Program,High School,Science,"Laboratory Based Science, Work Independantly","Hempstead, New York",In-Person,"July 8, 2024 - August 16, 2024","Friday, March 29, 2024","$2,000",None,"Research Program, ""Mentorship"", ""Project Based""",STEM
Alabama Scholastic Press Multicultural Journalism Program,The University of Alabama,"While still in high school, 10 to 15 students are selected to attend an intensive workshop held in Tuscaloosa, Alabama, each summer. The workshop emphasizes multimedia reporting, writing, editing, graphics, photography, production and basic communication skills. Participants’ work will be showcased in the “MJW Journal” to display what they’ve learned.",https://mjw.ua.edu/,Workshop,"High School(10, 11, 12)","Journalism, Writing",Writing,"Tuscaloosa, Alabama",In-Person,"May 31, 2024 - June 9, 2024","April 1, 2024",Free,None,"High School, ""Workshop"", ""Career Advancement""","Humanities,""Journalism"""
Columbus College of Art & Design College Preview,Columbus College of Art & Design,Columbus College of Art & Design’s program allows students to experience life as a college student enrolled in an Art and Design program. They’ll receive lectures and partake in workshops to enrich their knowledge of the field.,https://www.ccad.edu/academics/college-preview,Immersion Program,Highschool,Visual Arts,Art,"Columbus, Ohio",In-Person,"July 7, 2024 - July 27, 2024","May 28, 2024","$3,350","Available (Need-based, merit-based)","Scholarship, ""High School"", ""Career Advancement""","Humanities, ""Arts"""
Coriell Institute’s Summer Experience,Coriell Institute for Medical Research,"Running from July 17 through August 19, the Coriell Summer Experience for Students is a paid opportunity for high school and college students to work alongside world-renowned scientists and researchers and gain insights into careers in science or related areas.",https://www.coriell.org/1/About-Us/Education/Summer-Experience,Research Program,Highschool,Science,"Advanced science classes, strong interest in science","403 Haddon Ave, Camden, NJ 08103",In-person,July 17-August 19,"May 15, 2024",Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Coriell Summer Experience for Students,Coriell Institute for Medical Research,"Running from July 6 through August 3, the Coriell Summer Experience for Students is an opportunity for high school and college students to work alongside world-renowned scientists and researchers and gain insights into careers in science or related areas.",https://www.coriell.org/1/About-Us/Education/Summer-Experience,Research Program,Highschool,"Science, Medical","Advanced science classes, strong interest in science","403 Haddon Ave, Camden, NJ 08103",In-person,July 6 - August 3,"May 15, 2024",Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Liberty Science Center’s Partners in Science,Liberty Science Center,"Partners in Science is an intensive, eight-week summer program for rising high school juniors and seniors that pairs students with mentors in science, health, and technical fields. It exposes them to current questions driving scientific discovery and challenges them to participate in ongoing research and independent projects.",https://lsc.org/education/educators/partners-in-science,Research Program,Highschool+,Science,N/A,"Liberty State Park 222 Jersey City Boulevard Jersey City, NJ 07305",In-person,"June 27, 2024 - August 24, 2024","Feb 24, 2024",Free,"Available($1,000)","High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Rutgers Youth Enjoy Science (RUYES),Rutgers Cancer Institute of New Jersey,The Rutgers Youth Enjoy Science (RUYES) program seeks to encourage youth from groups that are underrepresented in the biomedical sciences to pursue cancer research and healthcare careers.,https://www.cinj.org/education/ruyes-information-high-school-and-undergraduate-students,Research Program,Highschool,"Science, Medical",Highly motivated and academically able to pursue a career in biomedical/cancer science,"Rutgers Cancer Institute of New Jersey 195 Little Albany Street New Brunswick, NJ 08903",In-person,N/A,March 8th,Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""","STEM, ""Research"""
Kean University’s Group Summer Scholars Research Program,Kean University,Kean University's Global STEM Scholars Research Program (GSSRP) offers high school students an immersive and hands-on research experience in various STEM fields.,https://www.kean.edu/academics/dorothy-and-george-hennings-college-science-mathematics-and-technology/school-1,Research Program,Highschool,Science,N/A,"1000 Morris Avenue Union, New Jersey 07083",In-person,"JULY 8-AUGUST 1, 2024","March 8, 2024","$1,950",None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""","STEM, ""Research"""
New Jersey Institute of Technology’s High School Summer Research Internship,New Jersey Institute of Technology,The NJIT summer program offers high school students a valuable opportunity to engage in STEM research and enhance their professional and career skills.,https://research.njit.edu/forstudents,Internship,Highschool,Science,N/A,"University Heights, Newark, New Jersey 07102 USA",In-person,"June 24th, 2024-August 1st, 2024",February 26,$500,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""","STEM, ""Research"""
Rutgers Young Scholars Program in Discrete Mathematics,Rutgers University,The Rutgers Young Scholars Program in Discrete Mathematics offers a unique opportunity for mathematically talented high school students to immerse themselves in a rigorous and stimulating academic environment.,https://math.rutgers.edu/academics/outreach-activities/1716-outreach-activities-2,Workshop,Highschool,Mathematics,N/A,"110 Frelinghuysen Road Piscataway, NJ 08854-8019, USA",In-person,N/A,N/A,"$4,500",None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
The Governor’s School of New Jersey in Engineering & Technology,Rutgers University,The Governor's School of New Jersey in Engineering & Technology provides an exceptional opportunity for high-achieving high school students to immerse themselves in the field of engineering and technology.,https://soe.rutgers.edu/academics/pre-college-engineering-programs/new-jersey-governors-school-engineering-and-technology,Workshop,Highschool,"Mathematics, Technology, Engineering",N/A,"98 Brett Road Piscataway, NJ 08854",In-person,July,"Jan 12, 2024",Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Newark Museum of Art’s Explorers Teen Program,The Newark Museum of Art,"The Explorers Program offered by the Newark Museum is an exceptional opportunity for students to explore their passions, develop new skills, and gain real-life experience in various fields of study.",https://newarkmuseumart.org/program/explorers/,"Workshop, Internship",Highschool,Arts,N/A,"49 Washington Street Newark, NJ 07102",In-person,N/A,N/A,Free,None,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""","Unpaid, ""Highschool"""
Applied Research Innovations in Science and Engineering (ARISE),NYU,"Discover a transformative learning experience at NYU's ARISE program, an opportunity-based initiative designed to immerse students in the world of STEM. Building upon the success of the previous 7-week program, for 2024 ARISE has expanded to a comprehensive 10-week format, providing an enriched journey for students eager to delve into the realms of scientific exploration.",https://engineering.nyu.edu/academics/programs/k12-stem-educatioN/Arise,Research Program,High School,Science,N/A,"383 Lafayette Street New York, NY 10003",Hybrid,June 3 – August 9,March 6,Free,Available,"High School, ""Pre-College"", ""Summer Program"", ""In-Person""",STEM
Program in mathematics for young scientists,PROMYS,PROMYS is a summer program designed for high school students passionate about mathematics. It offers a six-week experience where participants work on challenging problems and collaborate with mentors and professional mathematicians. PROMYS also has programs for teachers and international branches.,https://promys.org,High School,High School,Mathematics,Problem Solving,"oxford, IISc, boston university",in person,nothing found,march 1st,"$5,500",Available,Summer ProgramSkill Developmentin personunpaidscholarshiphigh school,"""Mathematics"""
Summer challenge,Boston University,"a 2 week on campus program to take on academic challenges through lectures, discussions, individual and group work, project-based assignments and even field trips.",https://www.bu.edu/summer/high-school-programs/summer-challenge/,High School,High School,"STEM, Journalism, Nutrition, Law, English",N/A,Boston university,in person,N/A,N/A,"$4,750",Available,"summer program, unpaid, in person,skills development","""STEM"",Technology,""Science"",""Mathematics"",""Journalism"",""Law"",""Finance"",""Medical"","
High School Honors,Boston University,"The Boston University High School Honors program is a 6-week summer program for rising juniors and seniors. It offers a chance to take BU undergraduate courses, earn up to 8 college credits, and experience college life in Boston. Students choose from over 80 courses, benefit from BU's resources, and build connections with peers. An online option is also available for those who can’t travel.",https://www.bu.edu/summer/high-school-programs/high-school-honors/,High School,Undergraduate,"Anthropology, Archaeology, Art History, Astronomy, Biology, Business, Chemistry, Chinese, Cinema and Media Studies, Classical Studies, Computer Science, Creative Writing, Earth and Environment, Economics, English Literature, Film and Television, French, Health Sciences, History, Hospitality Administration, International Relations, Italian, Japanese, Languages, Management, Mass Communication, Mathematics and Statistics, Music, Neuroscience, Philosophy, Photography, Physics, Political Science, Psychology, Religion, Sociology, Spanish, Statistics, Theatre, Visual Arts, Women's & Gender Studies, Writing",N/A,Boston university,hybrid,N/A,April12,"$9,600",Available,"summer program, hybrid, high school",MathematicsHumanitiesSocial SciencesJournalismLawEnvironmental StudiesEducationFinanceMarketingEntrepreneurshipNon-ProfitGovernmentResearchMedical
Ross Mathematics Program, Ross Mathematics Program,"The Ross Program is a six-week intensive summer program for highly motivated pre-college students, offering an immersive experience in advanced mathematical exploration and problem-solving.",https://rossprogram.org,High School,Undergraduate,Mathematics,Problem Solving,"Otterbein University,Rose-Hulman Institute of Technology",in person,"June 9 through July 19, 2024June 16 through July 26, 2024.",N/A,"$7,000",Available,"summer program, unpaid, in person,skills development",Mathematics
AwesomeMath,AwesomeMath,"The AwesomeMath Summer Program is a three-week intensive online program for talented middle and high school students worldwide. It focuses on enhancing problem-solving skills and advancing their math education, offering a challenging curriculum tailored for gifted learners.",https://www.awesomemath.org/summer-program/overview/program-information/,High School,Undergraduate,Mathematics,Problem Solving,N/A,online,june10-june28july1-july19july22-august9,august 31st,"$1,275",Available,summer programbootcampunpaidskills development,Mathematics
Biomedical Bootcamp,MDI Biological Laboratory,"The One-Week Biomedical Research Immersion Program introduces high school students to the latest developments in biomedical science through a combination of classroom instruction and hands-on lab work. Guided by expert researchers, participants engage in practical research projects, gaining experience with advanced tools and techniques while building a strong foundation for future study.",https://mdibl.org/course/biomedical-bootcamp-2024/,High School,Undergraduate,Biology Medicine,"Research, Data Analysis, Communication",MDI Biological Laboratory,in person,july15-19,"March 18, 2024","$2,000",Available,Workshopsummer programhigh school,Biology
Pre College Programs,Carnegie Mellon University,"The Pre-College Music Program mirrors Carnegie Mellon’s undergraduate music curriculum, offering private lessons, ensembles, and electives. Admission is based on auditions or portfolios, with a 6-week residential option providing the most comprehensive learning experience.",https://www.cmu.edu/pre-college/academic-programs/music.html,High School,Undergraduate,Arts,N/A,carnegie mellon university,in person,june 22-aug3,February1,"$11,000",Available,summer programscholarshipin person,N/A
Economics For Leaders,Foundation For Teaching Economics,"The goal of the EFL program is to equip promising students with leadership skills and economic analysis for public policy decisions. It introduces economic concepts, reasoning, and leadership theory to prepare future leaders for complex challenges.",https://fte.org/students/economics-for-leaders-program/,High School,Undergraduate,Economics,N/A,Rice UniversityYale UniversityWilliam & MaryUC BerkeleyUniversity of VirginiaBoston CollegeUCLACornell UniversityUniversity of PennsylvaniaDuke UniversityUniversity of WashingtonSouthern Methodist UniversityVanderbilt UniversityUniversity of MichiganUC Santa BarbaraAmerican University,hybrid,"June 3, 2024 – June 9, 2024June 10, 2024 – June 16, 2024June 17, 2024 – June 23, 2024June 24, 2024 – June 30, 2024July 1, 2024 – July 7, 2024July 8, 2024 – July 14, 2024July 15, 2024 – July 21, 2024July 22, 2024 – July 28, 2024July 29, 2024 – August 4, 2024",N/A,"$2,300",Available,Summer ProgramSkill Development,"""STEM"""
Leadership In the Business World,Wharton Global Youth Program,"Leadership in the Business World (LBW) is an intensive summer program for a select group of rising seniors who want an introduction to a top-notch undergraduate business education and the opportunity to hone their leadership, teamwork, and communication skills.",https://globalyouth.wharton.upenn.edu/programs-courses/leadership-in-the-business-world/,High School,Undergraduate,Business,Leadership,"Philadelphia,USA",in person,"Jun 9 - Jun 29, 2024Jun 30 - Jul 20, 2024Jul 21 - Aug 10, 2024",April3,$100,Available,certificatein personsummer programskills development,Business
CURIE Academy,Cornell University,"It is a one-week residential program for rising high school juniors and seniors who desire to learn about engineering in the context of an authentic college experience. It is designed to develop literacy around engineering as a major course of study, showcase career and graduate school pathways in engineering",https://sites.coecis.cornell.edu/curieacademy/,High School,High School,Engineering,N/A,Cornell Univeristy,in person,N/A,March28,"$1,900",Available,Summer ProgramScholarshipcareer advancementin person,Engineering
Iowa Young Writers' Studio,Magid Centre For Writing,"The organization offers a Summer Residential Program where participants choose a core course—Poetry, Fiction, Creative Writing, Playwriting, or TV Writing—to focus on for two weeks. In addition, it provides asynchronous 6-week online creative writing courses every winter and summer, allowing high school students to study at their own pace from anywhere in the world.",https://iyws.clas.uiowa.edu,High School,Open To All,Arts,N/A,"Iowa City, Iowa",hybrid,June 16-29July 14-27,February 4,"$2,500",Available,WorkshopSummer ProgramSkill Developmenthybrid,"""Arts"",""Journalism"""
Asian American Journalists Association,Asian American Journalists Association,"The organization hosts a six-day training camp that gathers culturally diverse high school students nationwide to learn from experienced journalists and media executives. Participants receive hands-on training, produce multiplatform news packages for JCamp Live, and benefit from a program with over 700 alumni since 2001",https://www.aaja.org/programs-and-initiatives/jcamp/,High School,Undergraduate,Journalism,N/A,N/A,in person,N/A,march,Free,Available,Summer Program Skill DevelopmentCareer AdvancementSkill Developmentmentorshipdiversityinternational,Journalism
UC Summer Drama,University Of Toronto,University College Summer Drama at the University of Toronto offers high school students the chance to explore drama and theatre while improving their English. The program provides a cultural experience in Toronto and welcomes international students with interests in acting or digital media production for theatre.,https://summerdrama.utoronto.ca,High School,High School,Arts,N/A,"Toronto, Canada",in person,July 8th to 27th,May 31st,"$5,975",Available,Workshopsummer programInnovationSkill DevelopmentCareer AdvancementNetworking,Arts
The Summer Science Program,Summer Science Program,"The Summer Science Program offers teens an exhilarating and inspiring immersion into hands-on experimental science. Working in teams of three, 36 or 24 participants and 8 faculty form a supportive “living and learning community” over 39 days. Each team completes a real research project, taking and analyzing original data. Afterward, they join a worldwide network of 3,700+ alumni of all ages.",https://summerscience.org/,High School,High School,"Physics, Biology",Research,US,In-Person,"June 9, 2024 - July 24, 2024",February 16,Financial AidAvailable,None,"High School, Summer Program, Mentorship","Physics, ""Biology"""
Anson L. Clark Scholars Program,Texas Tech University,The Program at Texas Tech University helps the Scholars to have a hands-on practical research experience with outstanding and experienced faculty.,https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,"High School, Undergraduate",High School,"Computer Science, Biology, Engineering","Programming, Research","Lubbock, Texas, US",In-Person,"June 16, 2024 - August 1, 2024",February 15,Free,Available (stipend),"Research Program, Computer Science","STEM, ""Engineering"", ""Chemistry"", ""Biology"""
Young Scholars Program,UC Davis,"The UC Davis Young Scholars Program is a summer residential research program designed to expose approximately 40 high-achieving high school students to the world of original research within the fields of the biological, agricultural, environmental and natural sciences. Participants in the UC Davis Young Scholars Program work one-on-one with research faculty and research groups in state-of-the-art laboratories for six weeks. Each student will work on an individual project and prepare a journal-quality paper and symposium presentation about their work.",https://education.ucdavis.edu/ysp-about,High School,High School,Environmental Science,Research,"Davis, California, US",In-Person,"June 22, 2024 - August 2, 2024",March 15,Varied,None,"High School, Research Program, Mentorship","STEM, ""Science"""
"High School Honors Science, Math and Engineering Program",Michigan State University,"If you are a mature high school junior with a keen interest in science, math or engineering and the ability to work independently and responsibly, you might be interested in the High School Honors Science, Engineering and Mathematics Program (HSHSP), a non-credit enrichment program sponsored by the Department of Teacher Education of Michigan State University. Founded in 1958, the HSHSP is the oldest, continuously running program of its kind in the United States.",https://education.msu.edu/hshsp/program-information/,High School,High School,"Environmental Science, Engineering, Mathermatics",Research,"East Lansing, Michigan, US",In-Person,"June 16, 2024 - August 3, 2024",March 1,Varied,Available,"Summer Program, In-Person, High School",STEM
Secondary Student Training Program,Belin-Blank Center,"If you are an advanced high school student in grades 10-11, this highly selective and intensive summer research program may be for you. SSTP offers you rare access to opportunities that help realize your academic and professional goals. You will conduct research under the mentorship of world-class faculty from a research-intensive university. Participate in classes and events that will stretch you as a researcher and scholar. Explore your interests, enhance your academic skills, and make meaningful friendships with intellectual peers.",https://belinblank.education.uiowa.edu/students/sstp/,High School,High School,"Environmental Science, Medicine",Research,"Iowa City, Iowa, US",In-Person,"June 19, 2024 - July 26, 2024",February 16,Varied,Available,"High School, Research Program, Mentorship",STEM
High School Summer Research Experience,Roswell Park,"If you’re a high school junior, get first-hand scientific research experience to make those all-important decisions about a college science major and future career in science or healthcare.",https://www.roswellpark.org/education/k-12-undergrad/high-school-summer-research-program,High School,"High School, Undergraduate",Medicine,Research,"New York, US",In-Person,"June 23, 2025 - August 8, 2025",February 21,Free,Available (stipend),"High School, Research Program, Mentorship",Medical
Boston University Tanglewood Institute,Boston University,"As a student at BUTI, you become part of the Tanglewood continuum – a rich and expanding family of artists. From your peer musicians in training to teachers who inspire, all the way through to the TMC Fellows, members of the BSO, and rock stars in the field, you can see yourself every step of the way. All it takes is one summer and you’ll forever be a part of this community of artists, educators, leaders, and advocates. What you’ll all share is the Tanglewood experience.",https://www.bu.edu/cfa/tanglewood/,"High School, Undergraduate",High School (Grades 10-11),Arts,Math,"Lenox, Massachusets, US",In-Person,"July 7, 2024 - August 17, 2024",January 26,Varied,Available,"High School, Undergraduate",Arts
Stanford University Mathematics Camp (SUMaC),Stanford School of Mathematics,"SUMaC welcomes a select group of rising high school juniors and seniors for intensive study in advanced mathematics. The program includes lectures, guided research, and problem-solving.",https://spcs.stanford.edu/programs/stanford-university-mathematics-camp-sumac,Non-Credit Enrichment,"High School (Low-income, first-generation juniors)",Mathematics,Math & Problem Solving,Stanford University or Virtual,Online or In-Person options,"Session 1: June 17 - July 5, 2024 (Online) Session 1: June 23 - July 19, 2024 (Residential) Session 2: July 8 - July 26, 2024 (Online)","February 1, 2024","$3,550(Virtual), $8,250(Residential)",None,"Math, Physics",Youth Summer Program
Stanford Medical Youth Science Program (SMYSP),Stanford School of Medicine,"SMYSP is a five-week immersive enrichment program focused on science and medicine for low-income, first-generation high school juniors living in Northern California. The program includes lectures, mentorship, and a public health disparities research project.",https://med.stanford.edu/odme/high-school-students/smysp.html,Non-Credit Enrichment,"High School, Community College (interested in biomedical and biological sciences/healthcare)",Science and Mathematics,Science & Medicine,Stanford University,In Person,"June 24 - July 26, 2024","March 15, 2024",Free (Tution),Available ($1250 stipend),"Health, Medicine",Youth Program
"Stanford Science, Technology, and Reconstructive Surgery Program (STaRS)",Stanford Medicine Division of Plastic and Reconstrictive Surgery,"STaRS Internship Program is a 7 week program in which interns are expected to fully commit to the program, working side-by-side with experienced clinician/scientist mentors in the field of plastic and reconstructive surgery, and engaging in hands-on research and healthcare-related activities. Interns must be able to participate for the entire duration without interruption.",https://plasticsurgery.stanford.edu/research/stars.html,Non-Credit Enrichment,High School(Rising juniors and seniors),"Health science, medicine",Science & Medicine,Stanford University,In Person,"June 17, 2024 - August 2, 2024","November 3rd, 2023",Free (Tution),None,"Plastic Surgery, Health",FGLI Youth Program
Stanford Summer Humanities Institute,Stanford University,A three-week residential program for rising high school juniors and seniors to explore the humanities through seminars led by Stanford professors.,https://summerhumanities.spcs.stanford.edu/?_gl=1*1a4ip76*_ga*NzQ4OTQ3OTUyLjE3MjM1NzYxODU.*_ga_ZPWH1H2C60*MTcyNDU5Mjc3Mi4xLjEuMTcyNDU5MzkyMC4wLjAuMA..#programdates,Non-Credit Enrichment,"Illinois high school sophomores and juniors, 3.0 GPA or above, U.S. work eligibility",Humanities,"Writing, Research",Stanford University,In Person,"June 23, 2024 - July 12, 2024 (Session 1), July 14, 2024 - August 2, 2024 (Session 2)","February 1, 2024","$8,250.00",None,"Humanities, Science","Summer Program, Stanford"
TARGET Internship,Fermilab,"A six-week summer internship for Illinois high school sophomores and juniors with interests in physics, mathematics, computer science, and engineering. Focuses on increasing diversity in STEM fields.",https://internships.fnal.gov/target/,Credited Enrichment,High school students ages 13 and up,STEM,"Physics, Mathematics, Computer Science, Engineering","Illinois, USA",Hybrid,TBD,TBD,None,$17.20 per hour,"STEM, Diversity","High School Internship, STEM"
Pre-College Programs,William & Mary,"Various pre-college programs for high school students, including online courses and full-credit summer classes in subjects like psychology, venture capital, and medicine. Includes a National Institute of American History & Democracy program and a Center for Gifted Education.",https://wm.edu/academics/precollege/,Non-Credit Enrichment,"High school sophomores and juniors, aged 15-18, U.S. and international students",Various,Time Managment/Determination for College-level coursework,"Williamsburg, VA, USA or Virtual",Online,Multi-length courses available throughout the year,Varies,"$1,495",None,"Pre-College, Online Courses","High School Programs, Gifted Students"
Telluride Association Summer Seminar (TASS),Telluride Association,"A Free summer educational experience for high school sophomores and juniors focusing on critical thinking and democratic community. Covers all costs including tuition, books, room and board, field trips, and facilities fees.",https://www.tellurideassociation.org/our-programs/high-school-students/,Non-Credit Enrichment,"High school juniors (11th grade), U.S. citizens or permanent residents, at least 16 years old",Humanities and Social Sciences,"Critical Thinking, Community Service","Cornell University, NY & University of Maryland, MD, USA",In Person,"June 22, 2025 - August 1, 2025 (Dates tentative)",Fall 2024 (Applications open),Free (Tuition),None,"Critical Thinking, Community Building","Summer Seminar, High School Students"
Simons Summer Research Program	,Stony Brook University,"A summer research program for high school juniors to gain research experience by working with faculty mentors on a project, including producing a research abstract and poster. Includes weekly faculty talks, workshops, and events.",https://www.stonybrook.edu/commcms/simons/about/about.php,Non-Credit Enrichment,High School,Science,"Independence, Creativity, Hands-on Work","Stony Brook, NY, USA",In Person,"July 1, 2024 - August 9, 2024",TBD,Free (Tuition),Available (Stipend Award TBD),"Research Experience, Science",High School Research Program
Commonwealth Honors Academy,Murray State University,"A three-week academic enrichment program held every June on Murray State University’s campus. Participants live on campus, take college-level honors classes, and engage in various activities and seminars. The program offers 6 college credits and a 4-year full tuition scholarship.",https://www.murraystate.edu/cha/,Credited Enrichment,Mohawk (High School & College) Students.,Honors Courses,"Academic Excellence, Time Management","Murray, KY, USA",In Person,June (3 weeks),TBD,$250,None,"College Credit, Academic Enrichment",High School Enrichment Program
Saint Regis Mohawk Scholars Program,Roswell Park Comprehensive Cancer Center,"A program aimed at supporting Mohawk students in Indigenous health issues. It includes three separate programs: Mohawk Youth Health Ambassador Afterschool Program (MYHA), ARCH High School Summer Research Internship, and ARCH College Summer Research Internship. MYHA is for high school juniors and includes weekly afterschool sessions. The high school internship is a three-week paid summer program, while the college internship is a ten-week paid summer program.",https://www.roswellpark.org/research/departments/indigenous-cancer-health/saint-regis-mohawk-scholars-program,Non-Credit Enrichment,High School (students worldwide with strong academic achievements and research interest),Indigenous Health Research,"Research Skills, Health Equity Understanding","Buffalo, NY, USA",Hybrid,"MYHA: Weekly, Summer Internship: 3 weeks, College Internship: 10 weeks",TBD,None,Paid Amount TBD,"Indigenous Health, Cancer Research",High School and College Internships
Research Mentorship Program,"University of California, Santa Barbara","The Research Mentorship Program is a competitive summer program that pairs high-achieving high school students with mentors (graduate students, postdocs, or faculty) for hands-on, university-level research. Students choose from a range of disciplines, learn research techniques, and gain insight into professional opportunities. The program includes GRIT talks, networking, and immersion in university life.",https://www.summer.ucsb.edu/programs/research-mentorship-program/overview,Non-Credit Enrichment,"High School (Rising 12th graders from underrepresented groups with a minimum 3.2 GPA, significant interest in engineering, completed Chemistry with a B or better, and readiness for Pre-Calculus by 12th grade.)",Interdisciplinary Research,"Research Techniques, Networking","Santa Barbara, CA, USA",In Person or Hybrid,"June 17, 2024 - August 2, 2024","March 18, 2024","$4,975(Commuter), $11,874(Residential)",None,"University Research, Summer Program",Research Experience
ESTEEM/SER-Quest Summer Program,"University of Maryland, College Park","The ESTEEM/SER-Quest Summer Program is a 4-week, commuter-only program for rising 12th graders focusing on engineering research. Students engage in research projects, learn engineering concepts, develop research proposals, and gain insights into the college application process. The program aims to attract students to the A. James Clark School of Engineering.",https://eng.umd.edu/minorities/pre-college-programs/esteem-ser-quest,Non-Credit Enrichment,High School (students with an interest in quantitative skills and personal growth.),Engineering,"Research Skills, Communication Skills","College Park, MD, USA",In Person,"July 8, 2024 - August 2, 2024","April 26, 2024 (Best consideration)",None,None,"Engineering Research, College Prep",Engineering Research
SPARC Program,"California State University, East Bay","SPARC is a Free program for talented high school students to develop quantitative skills and apply them to real-world problems. It features small, discussion-based classes and activities ranging from programming labs to self-reflection. Students explore advanced topics like causal modeling and cognitive science, and connect with professionals through a speaker series.",https://www.sparc.camp/,Non-Credit Enrichment,,"Quantitative Skills, Cognitive Science","Programming, Analytical Skills","Hayward, CA, USA",In Person,"July 21, 2024 - July 31, 2024",TBD,None,None,"Quantitative Skills, Personal Growth",Quantitative Skills